"x1"	"x2"	"x3"	"z1"	"z2"	"z3"	"y"
"1"	0.641363955982443	0.943440589530646	0.641263397295534	2	1	3	4.61502576233179
"2"	0.519255770157655	0.592332756905644	0.808890157436699	2	1	3	3.56869566591884
"3"	0.157934297979982	0.356854979808293	0.608608653800516	2	1	3	1.89385543156695
"4"	0.235072177679588	0.644873494802641	0.331532082655525	2	3	1	3.14349705112204
"5"	0.752153395698118	0.495864735732292	0.246716451805292	2	3	1	4.17614365474609
"6"	0.560041204856617	0.896630967725758	0.265716429405995	2	3	1	4.89224411209802
"7"	0.709311575074048	0.106019377837785	0.752950431865261	2	3	2	2.3351334914139
"8"	0.546446087491342	0.639204977356173	0.518199509667968	2	3	2	4.01621733423213
"9"	0.990517131469707	0.195059538025547	0.49334194207633	2	3	2	2.19838344822216
"10"	0.0640929491218915	0.787236003374773	0.287310198987087	1	3	3	2.79051796117236
"11"	0.264726049968122	0.39811306248166	0.696554947150066	1	3	3	2.32167823273772
"12"	0.430081221122686	0.517960816713763	0.601794720837203	1	3	3	3.22024888259028
"13"	0.976428959190983	0.159868938451702	0.673903601347572	2	1	2	3.15459126953294
"14"	0.83850081344595	0.678011981957236	0.801026597268374	2	1	2	4.59233992280209
"15"	0.0818126102001119	0.831880256976288	0.462239103868926	2	1	2	2.597815424377
"16"	0.628945889020408	0.0891831138108018	0.176380854798481	3	3	3	1.60794228292161
"17"	0.512522995014916	0.602659354794104	0.0359211606922111	3	3	3	2.06358976392062
"18"	0.659093104998501	0.0300706088525692	0.480765346084135	3	3	3	2.58634216107882
"19"	0.218049276907595	0.299809593063446	0.042863471240932	3	1	3	0.520886398268449
"20"	0.860716721362055	0.686716769416644	0.682139615361567	3	1	3	5.19813765471411
"21"	0.456049142296162	0.198141227188854	0.154971492407774	3	1	3	1.19972774429794
"22"	0.37895923952664	0.489522865470384	0.0193823512390624	3	2	3	1.00105210751746
"23"	0.0608114877221301	0.25912544278451	0.957699414908909	3	2	3	3.14730787486133
"24"	0.166685454553154	0.536531874050536	0.728923950347199	3	2	3	3.83592862856716
"25"	0.756785896506137	0.956273216596103	0.122970278302989	2	1	1	5.07324413660451
"26"	0.969032012107265	0.746701770094166	0.909768696308113	2	1	1	4.75369328712942
"27"	0.531192049910142	0.480550225516551	0.829343380584715	2	1	1	3.43325360802061
"28"	0.962640145934405	0.569178488433223	0.106211945276569	2	2	1	3.72373101907098
"29"	0.441827960318115	0.319979584652264	0.413563654594192	2	2	1	2.30352891767637
"30"	0.208687060624706	0.760493692197481	0.394823653640708	2	2	1	3.38916217444742
"31"	0.110749264790987	0.987308979336241	0.161102489562544	2	3	3	3.94568137106352
"32"	0.591096084263107	0.463689680403834	0.450852685973025	2	3	3	3.47305802572461
"33"	0.772533356876078	0.0657861819375812	0.761520022649985	2	3	3	2.41842907469217
"34"	0.823078464150406	0.766450010355056	0.787406717205742	1	2	1	4.55043242379051
"35"	0.30702122150242	0.329313119459483	0.209800668494822	1	2	1	1.64648552752997
"36"	0.113773716751624	0.929358752481754	0.58715049412251	1	2	1	4.18288511816458
"37"	0.364721131068367	0.360320429918414	0.657135645108711	2	2	2	3.23369940789786
"38"	0.734850904542125	0.90985403688521	0.525048495758969	2	2	2	3.67240159008515
"39"	0.688907304215302	0.215522225816838	0.775561476063075	2	2	2	3.63659460669276
"40"	0.415329893996341	0.0412983165616974	0.948602381001376	1	1	3	2.57449733088778
"41"	0.904581878733833	0.885012866360032	0.0823961573129773	1	1	3	5.70680771021221
"42"	0.886949862724308	0.392483953630874	0.996350984945663	1	1	3	3.7854628110906
"43"	0.0882423828430704	0.728318573668438	0.894588682188273	1	2	3	3.98797766930865
"44"	0.0275444296982001	0.261859621763528	0.965629682016708	1	2	3	2.97722408521671
"45"	0.468127455346769	0.020976461507495	0.146264565812516	1	2	3	1.60624738830812
"46"	0.0235508964109568	0.989634424818818	0.21480877780252	1	1	1	2.98177441870446
"47"	0.355547529889593	0.705244355906882	0.134396060461891	1	1	1	3.20286149728186
"48"	0.604063389972312	0.628093473090112	0.371280362944544	1	1	1	4.18849084915991
"49"	0.487123104758032	0.607612500050577	0.984603654814562	3	3	2	4.65046400411206
