"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"x9"	"z1"	"z2"	"z3"	"z4"	"z5"	"z6"	"z7"	"z8"	"z9"	"ry"
0.736373454847446	0.431740411618449	0.222341984086186	0.142265235708231	0.445292645040027	0.0510147474874027	0.683107710616342	0.858344714660833	0.863223618208972	2	3	3	2	3	1	1	3	1	9.41522307287539
0.739175252778901	0.991731869766787	0.280824344398507	0.870128073414177	0.0152242088959085	0.299206426876592	0.360959337340778	0.0542860987616986	0.390673353068185	2	3	3	2	2	1	1	2	2	8.02417504685545
0.648516336021982	0.0390486621864222	0.323364814869556	0.750162868655189	0.858014603167624	0.193366180966171	0.673653219373255	0.366062407970362	0.414832885228276	2	1	3	2	2	1	1	1	3	9.05292373185134
0.950276760438144	0.622706886476205	0.373021113166804	0.0970983071893032	0.0402030425744487	0.0446949396617906	0.463201900320996	0.764615182670255	0.593082594561714	2	3	3	1	3	1	1	3	3	10.8721385388097
0.6232156224873	0.460209753837344	0.949840503090849	0.90151914261976	0.160910152793017	0.920644501269536	0.247338892116268	0.887995598175178	0.715535135328831	2	3	1	2	2	1	1	3	1	12.1100595560938
0.41889715409768	0.783581894674012	0.367713081500586	0.167581512127415	0.701396200316973	0.0837086614098005	0.969352418778473	0.911969929506213	0.192540580478079	3	3	3	3	2	1	1	3	3	9.99239824375138
0.818246800892345	0.971662624906538	0.18866214454519	0.655845900897813	0.400173738629271	0.295174283147986	0.609018713260542	0.577980821054188	0.69564042922943	2	3	3	3	2	1	1	1	3	10.6830604951214
0.162663804745382	0.995483389062397	0.579442581965414	0.248198610327738	0.375795781907542	0.345939332272068	0.226734422395956	0.213578586743646	0.106560327602704	2	3	2	2	2	2	1	3	3	5.67973825233801
0.843459113611555	0.288563556027138	0.731686965479494	0.0609159350606658	0.273369929471074	0.49653994053582	0.564025260042955	0.587724282969864	0.383944156512354	2	3	3	2	2	2	1	1	3	10.1625445539452
0.251548614165688	0.041532654197499	0.12960535073281	0.806901321748136	0.349445180577057	0.979648480886131	0.289926944723384	0.806339046279609	0.72888224848604	2	3	1	2	2	1	1	3	2	9.47410955039769
0.778144788556307	0.703227140919848	0.226009009850848	0.827672206188043	0.0731813341614871	0.53835714791149	0.852073210347859	0.205280945864206	0.49744229892116	2	3	2	3	2	1	1	3	3	8.10183337975152
0.390744756827651	0.360831459983722	0.856990788844048	0.0910700671638585	0.946959362552133	0.295698539475273	0.685861251517041	0.0804195092495808	0.109426689746526	2	3	3	2	3	1	1	1	3	8.14726424316591
0.584806506742043	0.729158603529868	0.563085240550299	0.564324965977614	0.0132727749998191	0.0648429031570157	0.476958644378518	0.932415238744779	0.130738332597968	3	3	3	2	2	1	1	2	3	9.62504304318484
0.999343087044826	0.592288797633353	0.855530012996004	0.418363565658725	0.620162357294507	0.95050139187623	0.888682476300759	0.456184636105379	0.844673157975964	2	3	3	2	2	3	1	2	3	14.4670836422129
0.019629077928169	0.413883367698803	0.489456313631038	0.609231476480943	0.0421078206058395	0.379334470145935	0.0216601336038012	0.840332241465209	0.536665865446135	1	3	3	2	2	2	1	3	3	5.95921302291667
0.0761243008043172	0.0406436425069389	0.0798576147202346	0.240853395218073	0.541744844248698	0.778184749338148	0.304289306802924	0.226517597057907	0.142395849083199	2	3	3	2	1	1	1	3	1	5.06999428838736
0.33222602544992	0.259035885266164	0.840259664335411	0.0185286911449886	0.01987592123388	0.429079857283675	0.625378313520964	0.837362747323606	0.613698638906137	2	3	3	2	1	1	1	3	3	9.53110306758735
0.369540055668513	0.884715800913581	0.271430510846176	0.823857538738841	0.697210296867677	0.431389823800878	0.860261373491399	0.704808871342899	0.153530149085935	2	3	3	2	2	1	1	1	3	9.70394804690863
0.719081585469704	0.649125998584986	0.878738970022304	0.718683196319885	0.0287557658137882	0.99375134144123	0.516669083421082	0.910077142435102	0.132258573147682	2	3	3	2	2	1	3	2	3	11.2334596594895
0.267032777158855	0.569141548625115	0.838925843547925	0.556940956880096	0.353478764407719	0.104744785711013	0.635717533106899	0.784059564445751	0.991439740585086	2	3	3	2	2	1	2	3	2	10.6799897603893
0.835416101041961	0.542604005800793	0.00967371438630682	0.540220726663908	0.690257806238026	0.417808037148747	0.879418092210059	0.877695612370322	0.0526866434042961	1	3	3	2	2	1	1	1	3	9.96237758787425
0.300847810624453	0.870844180340795	0.258638445783496	0.23753471609963	0.811593366335714	0.679089694763084	0.922945686227231	0.506331438528207	0.918825994456312	1	3	3	3	2	1	1	3	3	11.6802259739688
0.160175111010806	0.485177562358737	0.804063291173035	0.89934105238156	0.478977520051192	0.336200996275323	0.450304558066298	0.269931267297403	0.714179253185855	2	1	3	2	2	1	1	2	3	10.7643219826673
0.504920076632311	0.19979393016683	0.976431498708941	0.525193575083024	0.952355364040418	0.992771799327448	0.122075655211774	0.338414768398108	0.140446000801752	2	3	3	1	2	1	1	3	2	11.6521588200828
