"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"x9"	"z1"	"z2"	"z3"	"z4"	"z5"	"z6"	"z7"	"z8"	"z9"	"y"
0.686433689885307	0.456018818016164	0.603681315621361	0.712729586202186	0.311145577002317	0.572541134727653	0.549318603202701	0.272290697481949	0.287239634850994	2	3	3	2	2	1	1	3	3	9.34331404135716
0.419236352902371	0.543550663057249	0.615988123402931	0.867057281311136	0.834622068763711	0.133836529026739	0.219508751309477	0.81994380382821	0.153102294898126	2	3	3	2	2	1	1	3	3	10.5378348646971
0.76054583590012	0.62875057293335	0.173520291885361	0.00739442594116554	0.962620848636143	0.591737852937076	0.351311176614836	0.0319772494584322	0.693191538392566	2	3	3	2	2	1	1	3	3	9.31567158987793
0.711603053885046	0.171130796519574	0.673246950742323	0.664351752332877	0.0749781070020981	0.282001655444037	0.910724686116446	0.0592824724153616	0.905777105230372	2	3	3	2	2	1	1	3	3	8.55052968097079
0.112537621839438	0.415017003952526	0.700465756927151	0.946995855809655	0.726018889502157	0.488202278707176	0.554032979186159	0.763065448396374	0.590750411213376	2	3	3	2	2	1	1	3	3	11.3591065378187
0.632898316520732	0.0311742377490737	0.724503203963395	0.207071124571376	0.514793844316155	0.737634064154699	0.766935397735797	0.699861379393842	0.0837686311942525	2	3	3	2	2	1	1	3	3	10.5270771293998
0.580203132862225	0.80280738002155	0.759238263964653	0.899824584268499	0.367065637437627	0.020964366660919	0.0808065426745452	0.154221682930365	0.203631378079299	2	3	3	2	2	1	1	3	3	7.18657238133874
0.495824546993244	0.886189122498035	0.383951110739727	0.136232358214911	0.0115142814768478	0.0400054086651653	0.143183957536239	0.1482639443269	0.569463115297258	2	3	3	2	2	1	1	3	3	5.52315582891647
0.92383032055106	0.90600411163643	0.0880413891747594	0.684371652195696	0.124261762767565	0.680813570551109	0.308816355776507	0.897283803415485	0.587887373624835	2	3	3	2	2	1	1	3	3	10.0862096227078
0.601428239087109	0.536766580746043	0.582973394962028	0.75958338268334	0.824797849704046	0.230272784214467	0.464080660284963	0.740408781911246	0.731350363485981	2	3	3	2	2	1	1	3	3	13.1912673797716
0.640112750837579	0.765467809389811	0.7321479053027	0.872540896753781	0.883175332474057	0.906540014564525	0.473570255383383	0.569930213987827	0.146202164094429	2	3	3	2	2	1	1	3	3	10.8319691194315
0.548579826008063	0.561388799729757	0.331274862643331	0.977161514665931	0.554759567677975	0.145997936318163	0.36942849240033	0.918362240728457	0.177472464051098	2	3	3	2	2	1	1	3	3	9.82807522132177
0.725369097101502	0.950416726784315	0.782154035174754	0.40212795198895	0.84214363718871	0.612846569870599	0.734974915946368	0.941533021354117	0.533572190541308	2	3	3	2	2	1	1	3	3	14.3659546210309
0.830810787531082	0.559009383174125	0.927269333766308	0.384486333397217	0.320804285693448	0.872987718279474	0.929628582701553	0.736036649509333	0.941725339146797	2	3	3	2	2	1	1	3	3	13.1611254981622
0.0117954944702797	0.127628747215495	0.235511379647069	0.144536321144551	0.746910737019498	0.749994892647956	0.0200534837902524	0.857589116033632	0.840712358288001	2	3	3	2	2	1	1	3	3	10.0846178816042
